arm,operator,eval_index,best_speedup_so_far
pilot_full_pro,geglu,6,1.6782
pilot_full_pro,geglu,7,1.6782
pilot_full_pro,geglu,8,1.6782
pilot_full_pro,geglu,9,1.6782
pilot_full_pro,geglu,10,1.6782
pilot_full_pro,geglu,11,1.6782
pilot_full_pro,geglu,12,1.6782
pilot_full_pro,gemm,1,0.0
pilot_full_pro,gemm,2,0.0
pilot_full_pro,gemm,3,0.0
pilot_full_pro,gemm,4,0.0
pilot_full_pro,gemm,5,0.9205
pilot_full_pro,gemm,6,0.9205
pilot_full_pro,gemm,7,0.9367
pilot_full_pro,gemm,8,0.9367
pilot_full_pro,gemm,9,0.9367
pilot_full_pro,gemm,10,0.9367
pilot_full_pro,gemm,11,0.9367
pilot_full_pro,gemm,12,0.9367
pilot_full_pro,int4_gemm,1,0.0
pilot_full_pro,int4_gemm,2,0.0
pilot_full_pro,int4_gemm,3,0.0
pilot_full_pro,int4_gemm,4,0.0
pilot_full_pro,int4_gemm,5,0.0
pilot_full_pro,int4_gemm,6,0.0
pilot_full_pro,int4_gemm,7,0.0
pilot_full_pro,int4_gemm,8,0.0
pilot_full_pro,int4_gemm,9,0.0
pilot_full_pro,int4_gemm,10,0.0
pilot_full_pro,int4_gemm,11,0.0
pilot_full_pro,int4_gemm,12,0.0
pilot_full_pro,kl_div,1,4.371
pilot_full_pro,kl_div,2,4.371
pilot_full_pro,kl_div,3,4.371
pilot_full_pro,kl_div,4,4.371
pilot_full_pro,kl_div,5,4.4267
pilot_full_pro,kl_div,6,4.6049
pilot_full_pro,kl_div,7,4.6049
pilot_full_pro,kl_div,8,4.6049
pilot_full_pro,kl_div,9,4.6049
pilot_full_pro,kl_div,10,4.6049
pilot_full_pro,kl_div,11,4.6049
pilot_full_pro,kl_div,12,4.6049
pilot_full_pro,rms_norm,1,2.104
pilot_full_pro,rms_norm,2,2.2686
pilot_full_pro,rms_norm,3,2.2686
pilot_full_pro,rms_norm,4,2.2686
pilot_full_pro,rms_norm,5,2.2686
pilot_full_pro,rms_norm,6,2.2686
pilot_full_pro,rms_norm,7,2.2816
pilot_full_pro,rms_norm,8,2.3022
pilot_full_pro,rms_norm,9,2.3022
pilot_full_pro,rms_norm,10,2.3022
pilot_full_pro,rms_norm,11,2.3022
pilot_full_pro,rms_norm,12,2.3022
pilot_full_pro,rope,1,4.3671
pilot_full_pro,rope,2,4.3671
pilot_full_pro,rope,3,4.3671
pilot_full_pro,rope,4,4.3671
pilot_full_pro,rope,5,4.3887
pilot_full_pro,rope,6,4.3887
pilot_full_pro,rope,7,4.3887
pilot_full_pro,rope,8,4.3887
pilot_full_pro,rope,9,4.3887
pilot_full_pro,rope,10,4.4091
pilot_full_pro,swiglu,1,1.1216
pilot_full_pro,swiglu,2,1.5901
pilot_full_pro,swiglu,3,1.5901
pilot_full_pro,swiglu,4,1.5901
pilot_full_pro,swiglu,5,1.5986
pilot_full_pro,swiglu,6,1.6045
pilot_full_pro,swiglu,7,1.6045
pilot_full_pro,swiglu,8,1.6045
pilot_full_pro,swiglu,9,1.6045
pilot_full_pro,swiglu,10,1.672
pilot_full_pro,swiglu,11,1.672
pilot_full_pro,swiglu,12,1.672
pilot_full_pro,welford,1,2.1667
pilot_full_pro,welford,2,2.1667
pilot_full_pro,welford,3,2.1667
pilot_full_pro,welford,4,2.1667
pilot_full_pro,welford,5,2.1667
pilot_full_pro,welford,6,2.1667
pilot_full_pro,welford,7,2.1667
pilot_full_pro,welford,8,2.168
pilot_full_pro,welford,9,2.168
pilot_full_pro,welford,10,2.168
pilot_full_pro,welford,11,2.168
pilot_full_pro,welford,12,2.168
